"po","total"
"0200433","3000"
"0200661","90"
"0503223","1000"
"0900780","6000"
"3831292","1000"
"3831293","1250"
"3831294","1124"
"3831295","1300"
"3831296","950"
"3831298","75"
"3831339","620"
"3831340","111"
"3831341","186"
"3831342","465"
"3831343","800"
"3831344","450"
"3831346","50"
"3831347","127"
"3831348","224"
"3831349","712"
"3831350","634"
"3832807","180"
"3832816","240"
"3832817","60"
"3832822","110"
"3832827","60"
"0501048","3000"
"0501049","5000"
"0501053","5000"
"0501055","2000"
"0501056","15000"
"0501059","4500"
"0501072","1100"
"0501078","12000"
"0501079","10500"
"0501080","13000"
"0501081","12800"
"0501082","9000"
"0501083","7500"
"0501084","7500"
"0503224","7500"
"0503221","3250"
"0503222","3750"
"1501480","840"
"1501485","2700"
"1505012","23100"
"1505043","4500"
"1630191","11250"
"1618939","5250"
"1601772","61600"
"1601900","5600"
"1701887","18400"
"1701888","22000"
"2100492","16800"
"2100495","5000"
"2100578","7200"
"2100583","2400"
"2100584","250"
"2100585","1250"
"2100632","3600"
"2100633","7200"
"2100952","3000"
"2100953","250"
"2101056","15700"
"2101059","5100"
"2101061","8000"
"2101106","19950"
"2101107","25050"
"2101108","24000"
"2101113","4000"
"2101114","37500"
"2101252","42200"
"2101285","45000"
"2101387","2000"
"2101389","6000"
"2101390","15000"
"2101463","19500"
"2101465","6000"
"2101466","2200"
"3831297","650"
"110009329906","560"
"110009339906","240"
"110013289906","6696"
"110012689905","192"
"110009379905","560"
"110063649903","180"
"110063659903","320"
"110019039901","50"
"110124809903","60"
"110124819903","252"
"110124759902","352"
"110124789903","20"
"110124799903","20"
"110124779902","28"
"110124172607","14"
"110124212607","4"
"110124249908","16"
"110124211007","18"
"110124221007","9"
"0900781","21000"
"0900782","21000"
"0900783","10800"
"0900784","2800"
"0900785","1600"
"0900786","5600"
"0900787","16800"
"0900788","13200"
"0900789","12000"
"0900790","16800"
"0900791","500"
"0900792","5000"
"0900793","2400"
"0900794","8400"
"0900795","1600"
"0900796","500"
"0900797","2500"
"0901136","1400"
"0901145","9600"
"0901146","12800"
"0901147","32000"
"0901148","8000"
"0901149","8000"
"0901150","10600"
"0901151","6400"
"0901152","5250"
"0901153","8400"
"0901155","4900"
"0901297","400"
"0901766","1000"
"0901768","500"
"0901769","500"
"0901770","500"
"0901771","500"
"0901772","5500"
"0901783","3000"
"0902028","54400"
"0902038","43500"
"0902043","13800"
"0902059","18400"
"0902061","10400"
"0902063","11000"
"0902064","47600"
"0902065","47950"
